,1. open,2. high,3. low,4. close,5. volume,MA_3,MA_7,STD_3,STD_7,%_change
2025-09-22,248.3,256.64,248.12,256.08,105517416.0,246.48666666666668,241.05285714285714,9.140029175737958,7.483857548719698,0.04309572301425657
2025-09-23,255.875,257.34,253.58,254.43,60275187.0,252.00333333333333,243.96142857142857,5.692155420694532,8.236280367114725,-0.006443298969072031
2025-09-24,255.22,255.74,251.04,252.31,42303710.0,254.2733333333333,246.1914285714286,1.8898765391798902,8.053755704786823,-0.008332350744802097
2025-09-25,253.205,257.17,251.712,256.87,55202075.0,254.53666666666666,248.8657142857143,2.2818705776933568,8.046557974569058,0.01807300542982837
2025-09-26,254.095,257.6,253.78,255.46,46076258.0,254.88,251.21857142857144,2.334673424701905,7.020041378253191,-0.00548915793981386
2025-09-29,254.56,255.0,253.01,254.43,40127687.0,255.58666666666667,253.58285714285716,1.2249217662131417,3.850384025375055,-0.0040319423784546116
2025-09-30,254.855,255.919,253.11,254.63,37704259.0,254.84,254.88714285714286,0.546168472185398,1.4610808132555888,0.0007860708249813886
2025-10-01,255.04,258.79,254.93,255.45,48713940.0,254.83666666666667,254.7971428571429,0.5404936015741988,1.3931823796128062,0.0032203589522050713
2025-10-02,256.575,258.18,254.15,257.13,42630239.0,255.73666666666668,255.18285714285716,1.2744148984309234,1.6284830803123744,0.0065766294773927925
2025-10-03,254.665,259.24,253.95,258.02,49155614.0,256.8666666666667,255.99857142857147,1.3050798187631152,1.3570854624479882,0.0034612841753198786
2025-10-06,257.99,259.07,255.05,256.69,44664118.0,257.28,255.97285714285712,0.677569184666394,1.3394117401047816,-0.005154639175257714
2025-10-07,256.805,257.4,255.43,256.48,31955776.0,257.06333333333333,256.11857142857144,0.8351247411870849,1.329767254968966,-0.000818107444777616
2025-10-08,256.52,258.52,256.11,258.06,36496895.0,257.07666666666665,256.63714285714286,0.858040403094625,1.2678816228381478,0.006160324391765393
2025-10-09,257.805,258.0,253.14,254.04,38322012.0,256.1933333333333,256.55285714285714,2.0252736440646637,1.432477042118769,-0.01557777261102078
2025-10-10,254.94,256.38,244.0,245.27,61999098.0,252.45666666666662,255.09857142857143,6.540354220785243,4.538610024268146,-0.03452212250039355
2025-10-13,249.38,249.69,245.56,247.66,38142942.0,248.99,253.74571428571426,4.533751206232031,5.195959510821958,0.009744363354670327
2025-10-14,246.6,248.845,244.7,247.77,35477986.0,246.9,252.28142857142853,1.4126924647674397,5.234798399720827,0.0004441573124445153
2025-10-15,249.485,251.82,247.47,249.34,33893611.0,248.25666666666666,251.23142857142858,0.9398049443070406,4.931492095270897,0.006336521774226167
2025-10-16,248.25,249.04,245.13,247.45,39776974.0,248.1866666666667,249.9414285714286,1.0115499658168035,4.4911150381301574,-0.007580011229646355
2025-10-17,248.02,253.38,247.27,252.29,49146961.0,249.6933333333333,249.11714285714288,2.439269016189859,3.0514789544625827,0.0195595069711052
2025-10-20,255.885,264.375,255.63,262.24,90483029.0,253.99333333333334,250.28857142857143,7.540691833866677,5.689731770395894,0.03943874113123802
2025-10-21,261.88,265.29,261.83,262.77,46695948.0,259.09999999999997,252.78857142857143,5.90358365740756,6.844563362191436,0.0020210494203782847
2025-10-22,262.65,262.85,255.43,258.45,45015254.0,261.15333333333336,254.32999999999998,2.356105543761307,6.7107600165708705,-0.016440232903299434
2025-10-23,259.94,260.62,258.0101,259.58,32754941.0,260.26666666666665,256.01714285714286,2.2403645536704055,6.255791221702553,0.0043722189978718795
2025-10-24,261.19,264.13,259.18,262.82,38253717.0,260.28333333333336,257.9428571428571,2.2683106783116944,5.923759263299902,0.012481701209646312
